food_id,food_name_original,food_name_normalized,source,source_url,category_original,category_normalized,water_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_c_mg,edible_portion_percent,unit_basis,scraped_at,cleaned_at,missing_nutrient_count,completeness_score,notes
tkpi_0022,Nasi,nasi,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,56.7,180.0,3.0,0.3,39.8,0.2,0.2,25.0,27.0,0.4,1.0,38.0,0.1,0.6,0.0,0.0,,,0.05,0.1,2.6,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,
tkpi_0023,Nasi tim,nasi tim,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,71.0,120.0,2.4,0.4,26.0,0.5,0.2,3.0,7.0,0.4,0.0,23.9,0.1,0.4,,0.0,,,0.1,0.0,1.4,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,4,0.8261,
tkpi_0024,Tapai beras,tapai beras,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,75.5,99.0,1.7,0.3,22.4,0.0,0.1,4.0,19.0,0.0,26.0,2.0,0.1,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,Nasi yang difermentasi 2-3 hari dengan ragi dibungkus daun pisang
tkpi_0025,"Tepung beras, mentah","tepung beras, mentah",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,12.0,353.0,7.0,0.5,80.0,2.4,0.5,5.0,140.0,0.8,5.0,241.0,0.1,0.8,0.0,0.0,0.0,,0.12,0.1,1.2,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,
tkpi_0026,Nasi beras merah,nasi beras merah,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,64.0,149.0,2.8,0.4,32.5,0.3,0.3,6.0,63.0,0.8,5.0,91.4,0.2,0.9,0.0,0.0,0.0,,0.06,0.0,1.6,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,
tkpi_0027,"Bihun, mentah","bihun, mentah",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,12.9,348.0,4.7,0.1,82.1,1.2,0.2,6.0,35.0,1.8,12.0,5.0,0.08,0.7,0.0,0.0,0.0,,0.0,0.0,0.2,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,
tkpi_0028,Bihun goreng instan,bihun goreng instan,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,9.0,381.0,6.1,3.9,80.3,,0.7,266.0,151.0,2.9,928.0,,,,58.0,,400.0,,0.37,,,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,9,0.6087,
tkpi_0029,"Bihun Jagung, mentah","bihun jagung, mentah",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,11.3,354.0,0.5,0.3,87.4,3.0,0.5,13.0,111.0,0.6,49.0,1.4,0.4,0.0,,0.0,0.0,,0.02,0.02,0.3,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,"Bihun, produk setengah jadi berbahan dasar tepung jagung"
tkpi_0030,Nasi jagung,nasi jagung,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,11.0,357.0,8.8,0.5,79.5,6.2,0.3,5.0,43.0,0.6,2.0,30.4,0.1,0.3,,0.0,0.0,,0.3,0.02,0.1,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,Nasi yang berasal dari beras berbahan dasar jagung pipil
tkpi_0031,"Jagung muda, rebus","jagung muda, rebus",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,53.2,142.0,5.0,0.7,30.3,0.8,0.8,5.0,105.0,0.8,5.0,24.3,0.2,0.9,,145.0,225.0,,0.15,0.0,0.7,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,
