source_food_id,source_food_name,source_category,usda_fdc_id,usda_food_name,usda_category,similarity_score,confidence
tkpi_0292,lamtoro var. gung tanpa kulit (white leadtree),kacang-kacangan,175204,"Beans, white, mature seeds, canned",Legumes and Legume Products,0.2926,LOW
tkpi_0862,"cumi-cumi, segar (squid, fresh)",ikan/kerang/udang dll,171982,"Mollusks, squid, mixed species, cooked, fried",Finfish and Shellfish Products,0.2925,LOW
tkpi_0946,"cumi-cumi, goreng (squid, fried)",ikan/kerang/udang dll,171982,"Mollusks, squid, mixed species, cooked, fried",Finfish and Shellfish Products,0.2925,LOW
tkpi_1082,minyak kedelai (soybean oil),minyak/lemak,171411,"Oil, soybean, salad or cooking",Fats and Oils,0.2899,LOW
tkpi_0674,"markisa, segar (giant granadilla, fresh)",buah,169108,"Passion-fruit, (granadilla), purple, raw",Fruits and Fruit Juices,0.2896,LOW
tkpi_0293,lamtoro var. lokal dengan kulit (white leadtree),kacang-kacangan,175202,"Beans, white, mature seeds, raw",Legumes and Legume Products,0.2846,LOW
tkpi_0929,"ikan tongkol, segar (tuna, fresh)",ikan/kerang/udang dll,175156,"Fish, tuna, fresh, skipjack, raw",Finfish and Shellfish Products,0.2844,LOW
tkpi_0496,"kool merah,kool putih (cabbage, fresh)",sayuran,169975,"Cabbage, raw",Vegetables and Vegetable Products,0.2814,LOW
tkpi_1143,"terasi (fish, fermented, paste (terasi))",bumbu,171606,Fish broth,"Soups, Sauces, and Gravies",0.2811,LOW
tkpi_0497,"koro kerupuk, polong (lablab, hyacinth bean)",sayuran,169234,"Hyacinth-beans, immature seeds, raw",Vegetables and Vegetable Products,0.2806,LOW
tkpi_0442,"daun pakis longgiho, segar (fern,longiho, leaf, fresh)",sayuran,168553,"Tree fern, cooked, with salt",Vegetables and Vegetable Products,0.2805,LOW
tkpi_1123,"cabai rawit, segar (chili papper)",bumbu,171150,"Soup, chili beef, canned, condensed","Soups, Sauces, and Gravies",0.2789,LOW
tkpi_1120,"cabai hijau, segar (chili papper)",bumbu,171150,"Soup, chili beef, canned, condensed","Soups, Sauces, and Gravies",0.2789,LOW
tkpi_0125,roti warna sawo matang,serealia,174075,"Bread, chapati or roti, whole wheat, commercially prepared, frozen",Baked Products,0.277,LOW
tkpi_1077,"lemak ikan (fish, fat)",minyak/lemak,172341,"Fish oil, menhaden",Fats and Oils,0.2769,LOW
tkpi_0393,"buah kelor (west indian bean, fruit)",sayuran,170402,"Chayote, fruit, raw",Vegetables and Vegetable Products,0.2761,LOW
tkpi_0149,"kentang hitam, segar (madagascar potato, fresh)",umbi berpati,168446,Potato flour,Vegetables and Vegetable Products,0.2705,LOW
tkpi_1073,"kelapa setengah tua, daging, segar (coconut flesh, half mature, fresh)",minyak/lemak,171412,"Oil, coconut",Fats and Oils,0.2705,LOW
tkpi_0512,"nangka muda, segar (jackfruit, young, fresh)",sayuran,168405,"Cowpeas, young pods with seeds, raw",Vegetables and Vegetable Products,0.2699,LOW
tkpi_0510,"melinjo, segar (spanish joint fir, fresh)",sayuran,170085,"Tomato products, canned, sauce, spanish style",Vegetables and Vegetable Products,0.2697,LOW
tkpi_0646,jeruk garut-keprok (mandarin),buah,169105,"Tangerines, (mandarin oranges), raw",Fruits and Fruit Juices,0.2687,LOW
tkpi_0511,"mostarda metan -sawi (indian mustard, fresh)",sayuran,169256,"Mustard greens, raw",Vegetables and Vegetable Products,0.2683,LOW
tkpi_0516,"petai, segar (stinky bean, fresh)",sayuran,169222,"Yardlong bean, raw",Vegetables and Vegetable Products,0.2658,LOW
tkpi_1039,"telur ayam ras, segar (domestic chicken, egg, fresh)",telur,172188,"Egg, whole, dried",Dairy and Egg Products,0.2633,LOW
tkpi_1089,santan (dengan air) (coconut milk mixed with water),minyak/lemak,171412,"Oil, coconut",Fats and Oils,0.263,LOW
tkpi_1093,"coklat susu, batang (chocolate, dairy milk, bar)",konfeksioneri,167587,"Candies, milk chocolate",Sweets,0.2611,LOW
tkpi_0254,"kacang gude, biji, kering (pigeon pea, fresh)",kacang-kacangan,172436,"Pigeon peas (red gram), mature seeds, raw",Legumes and Legume Products,0.2592,LOW
tkpi_0255,"kacang gude, biji, segar (pigeon pea, raw)",kacang-kacangan,172436,"Pigeon peas (red gram), mature seeds, raw",Legumes and Legume Products,0.2592,LOW
tkpi_0702,"pisang ua, segar (banana, ua. fresh)",buah,173945,"Bananas, dehydrated, or banana powder",Fruits and Fruit Juices,0.2586,LOW
tkpi_1138,"petis ikan (fish,fermented, paste (petis))",bumbu,171606,Fish broth,"Soups, Sauces, and Gravies",0.2572,LOW
tkpi_0878,"ikan cakalang, segar (scipjack tuna, fresh)",ikan/kerang/udang dll,175156,"Fish, tuna, fresh, skipjack, raw",Finfish and Shellfish Products,0.2565,LOW
tkpi_0444,"daun paku, segar (fern, paku, leaf fresh)",sayuran,168553,"Tree fern, cooked, with salt",Vegetables and Vegetable Products,0.2561,LOW
tkpi_0268,"kacang merah /banda, kering (kidney bean, dried)",kacang-kacangan,173744,"Beans, kidney, red, mature seeds, raw",Legumes and Legume Products,0.2559,LOW
tkpi_0914,"ikan puntin, segar (bagrdi catfish, fresh)",ikan/kerang/udang dll,174186,"Fish, catfish, channel, wild, raw",Finfish and Shellfish Products,0.255,LOW
tkpi_0750,"bebek alabio, daging, segar (duck, alabio, meat, fresh)",daging,172411,"Duck, domesticated, meat only, cooked, roasted",Poultry Products,0.255,LOW
tkpi_1095,"gula aren (sugar, palm)",konfeksioneri,173141,"Popcorn, microwave, regular (butter) flavor, made with palm oil",Snacks,0.254,LOW
tkpi_1088,mentega (margarine),minyak/lemak,171431,"Margarine, margarine-like vegetable oil spread, 67-70% fat, tub",Fats and Oils,0.2527,LOW
tkpi_1119,"cabai gembor merah, segar (chili papper)",bumbu,171150,"Soup, chili beef, canned, condensed","Soups, Sauces, and Gravies",0.2521,LOW
tkpi_0295,"saga merah terkupas, kering (red sandalwood, peeled)",kacang-kacangan,170575,"Nuts, chestnuts, european, raw, peeled",Nut and Seed Products,0.2498,LOW
tkpi_0416,"daun kasbi/singkong karet, segar (ceara rubber tree,fresh)",sayuran,168553,"Tree fern, cooked, with salt",Vegetables and Vegetable Products,0.2487,LOW
tkpi_0437,"daun melinjo, segar (spanish joint fir, leaf, fresh)",sayuran,170085,"Tomato products, canned, sauce, spanish style",Vegetables and Vegetable Products,0.2473,LOW
tkpi_1038,"telur ayam kampung, segar (feral chicken, egg, fresh)",telur,173423,"Egg, whole, cooked, fried",Dairy and Egg Products,0.2468,LOW
tkpi_0870,"ikan baung, segar (asian river catfish, fresh)",ikan/kerang/udang dll,174186,"Fish, catfish, channel, wild, raw",Finfish and Shellfish Products,0.2425,LOW
tkpi_0004,"beras hitam, mentah (rice, raw)",serealia,169742,"Rice noodles, dry",Cereal Grains and Pasta,0.2415,LOW
tkpi_0547,"umbut rotan (rattan, young shoot)",sayuran,168405,"Cowpeas, young pods with seeds, raw",Vegetables and Vegetable Products,0.2386,LOW
tkpi_0062,cake tape,serealia,169723,"Wheat flour, white, cake, enriched",Cereal Grains and Pasta,0.2384,LOW
tkpi_0389,"bawang bombay, segar (onion, fresh)",sayuran,170414,"Onion rings, breaded, par fried, frozen, unprepared",Vegetables and Vegetable Products,0.2383,LOW
tkpi_0001,"beras giling, mentah (rice, raw)",serealia,169742,"Rice noodles, dry",Cereal Grains and Pasta,0.2372,LOW
tkpi_1139,"petis udang kering (shrimp, fermented, dried (petis))",bumbu,171159,"Soup, cream of shrimp, canned, condensed","Soups, Sauces, and Gravies",0.237,LOW
tkpi_0886,"ikan hitam, segar (black sharkminnow, fresh)",ikan/kerang/udang dll,174188,"Fish, caviar, black and red, granular",Finfish and Shellfish Products,0.2361,LOW
tkpi_0266,"kacang lebui /iris, kering (pigeon pea, raw)",kacang-kacangan,172436,"Pigeon peas (red gram), mature seeds, raw",Legumes and Legume Products,0.2356,LOW
tkpi_1052,"ikan, telur, asin, mentah (roe, (fish egg), fresh)",telur,173423,"Egg, whole, cooked, fried",Dairy and Egg Products,0.2348,LOW
tkpi_0272,"kacang mete/biji jambu monyet, segar (cashew nut, mentah)",kacang-kacangan,170162,"Nuts, cashew nuts, raw",Nut and Seed Products,0.2335,LOW
tkpi_1105,"sirup pirous (syrup, pirous)",konfeksioneri,167953,Fruit syrup,Sweets,0.2329,LOW
tkpi_0545,"uceng/ bunga melinjo, segar (spanish joint fir, flower, fresh)",sayuran,168459,"Sesbania flower, raw",Vegetables and Vegetable Products,0.2315,LOW
tkpi_0641,"jambu bj putih tdk brbj (guava, white, seedles, fresh)",buah,174686,"Guava sauce, cooked",Fruits and Fruit Juices,0.2309,LOW
tkpi_0443,"daun pakis wambateu, segar (fern, wambateu, leaf fresh)",sayuran,168553,"Tree fern, cooked, with salt",Vegetables and Vegetable Products,0.2292,LOW
tkpi_0009,"beras ladang, mentah (rice, raw)",serealia,169742,"Rice noodles, dry",Cereal Grains and Pasta,0.2245,LOW
tkpi_0666,"mangga golek, segar (mango, golek, fresh)",buah,169091,"Mango, dried, sweetened",Fruits and Fruit Juices,0.2239,LOW
tkpi_0665,"mangga gedung, segar (mango, gedung, fresh)",buah,169091,"Mango, dried, sweetened",Fruits and Fruit Juices,0.2239,LOW
tkpi_0664,"mangga benggala, segar (mango, benggala, fresh)",buah,169091,"Mango, dried, sweetened",Fruits and Fruit Juices,0.2239,LOW
tkpi_0667,"mangga harumanis, segar (mango, harumanis, fresh)",buah,169091,"Mango, dried, sweetened",Fruits and Fruit Juices,0.2239,LOW
tkpi_0668,"mangga indramayu, segar (mango, indramayu, fresh)",buah,169091,"Mango, dried, sweetened",Fruits and Fruit Juices,0.2239,LOW
tkpi_0671,"mangga manalagi, segar (mango, manalagi, fresh)",buah,169091,"Mango, dried, sweetened",Fruits and Fruit Juices,0.2239,LOW
tkpi_0670,"mangga kwini, segar (mango, kwini, fresh)",buah,169091,"Mango, dried, sweetened",Fruits and Fruit Juices,0.2239,LOW
tkpi_0669,"mangga kopek, segar (mango, kopek, fresh)",buah,169091,"Mango, dried, sweetened",Fruits and Fruit Juices,0.2239,LOW
tkpi_0479,"kacang panjang, segar (yard-long bean, fresh)",sayuran,169222,"Yardlong bean, raw",Vegetables and Vegetable Products,0.2236,LOW
tkpi_0410,"daun jambu mete muda, segar (cashew leaf, young, fresh)",sayuran,168405,"Cowpeas, young pods with seeds, raw",Vegetables and Vegetable Products,0.222,LOW
tkpi_0280,"kacang urei, kering (rice bean )",kacang-kacangan,174258,"Noodles, chinese, cellophane or long rice (mung beans), dehydrated",Legumes and Legume Products,0.2213,LOW
tkpi_0612,"apel malang, segar (apel, green, fresh)",buah,168215,"Plantains, green, raw",Fruits and Fruit Juices,0.2211,LOW
tkpi_0949,"ikan baung bakar (asian river catfish, fresh)",ikan/kerang/udang dll,174186,"Fish, catfish, channel, wild, raw",Finfish and Shellfish Products,0.2186,LOW
tkpi_1137,kecap (soyabean sauce),bumbu,171584,"Sauce, cheese sauce mix, dry","Soups, Sauces, and Gravies",0.2175,LOW
tkpi_0388,"baligo, segar (wax gourd)",sayuran,168414,"Gourd, dishcloth (towelgourd), raw",Vegetables and Vegetable Products,0.2164,LOW
tkpi_0502,"kundur, segar (wax gourd, fresh)",sayuran,168414,"Gourd, dishcloth (towelgourd), raw",Vegetables and Vegetable Products,0.2164,LOW
tkpi_0738,"anak sapi, daging, gemuk, segar (veal, meat, high fat, fresh)",daging,173825,"Veal, loin, separable lean and fat, cooked, roasted","Lamb, Veal, and Game Products",0.214,LOW
tkpi_0739,"anak sapi, daging, kurus, segar (veal, meat, high fat, fresh)",daging,173825,"Veal, loin, separable lean and fat, cooked, roasted","Lamb, Veal, and Game Products",0.214,LOW
tkpi_0478,"kacang mekah, polong, segar (sword bean, fresh)",sayuran,169222,"Yardlong bean, raw",Vegetables and Vegetable Products,0.2139,LOW
tkpi_0710,"salak, segar (snake fruit, fresh)",buah,167781,Candied fruit,Fruits and Fruit Juices,0.2092,LOW
tkpi_1140,"petis udang pasta (shrimp, fermented, paste (petis))",bumbu,171159,"Soup, cream of shrimp, canned, condensed","Soups, Sauces, and Gravies",0.2076,LOW
tkpi_0415,"daun kacang panjang, segar (yard-long bean, leaf, fresh)",sayuran,169222,"Yardlong bean, raw",Vegetables and Vegetable Products,0.2074,LOW
tkpi_0881,"ikan cakalang, perut, segar (scipjack tuna, fresh)",ikan/kerang/udang dll,175156,"Fish, tuna, fresh, skipjack, raw",Finfish and Shellfish Products,0.207,LOW
tkpi_0880,"ikan cakalang, jantung, segar (scipjack tuna, fresh)",ikan/kerang/udang dll,175156,"Fish, tuna, fresh, skipjack, raw",Finfish and Shellfish Products,0.207,LOW
tkpi_0879,"ikan cakalang, hati, segar (scipjack tuna, fresh)",ikan/kerang/udang dll,175156,"Fish, tuna, fresh, skipjack, raw",Finfish and Shellfish Products,0.207,LOW
tkpi_0645,"jeruk banjar, segar (orange (banjar), fresh)",buah,169099,"Orange juice, canned, unsweetened",Fruits and Fruit Juices,0.2069,LOW
tkpi_0745,"babi, daging, gemuk,segar (pork, medium fat, fresh)",daging,168221,"Pork, fresh, separable fat, cooked",Pork Products,0.2066,LOW
tkpi_0740,"anak sapi, daging, sedang, segar (veal, meat, fresh)",daging,173825,"Veal, loin, separable lean and fat, cooked, roasted","Lamb, Veal, and Game Products",0.2058,LOW
tkpi_0446,"daun pare, segar (bitter guard, leaf, fresh)",sayuran,168393,"Balsam-pear (bitter gourd), pods, raw",Vegetables and Vegetable Products,0.2041,LOW
tkpi_0513,"paria putih, segar (bitter guard, fresh)",sayuran,168393,"Balsam-pear (bitter gourd), pods, raw",Vegetables and Vegetable Products,0.2027,LOW
tkpi_0492,"ketimun krai, segar (cucumber (krai), fresh)",sayuran,168409,"Cucumber, with peel, raw",Vegetables and Vegetable Products,0.2024,LOW
tkpi_0493,"ketimun madura, segar (cucumber (madura), fresh)",sayuran,168409,"Cucumber, with peel, raw",Vegetables and Vegetable Products,0.2024,LOW
