kode_pangan,food_name_original,category_original,tipe_bahan,source,source_url,water_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_c_mg,notes
AP032,Bantal,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,52.3,190,3.3,0.3,43.5,3.4,0.6,9,0,0.4,164,84.0,0.20,0.9,,,,0.27,0.02,3.6,,Jajanan dari ketan dan kacang tolo dibungkus daun kelapa diolah dengan cara dikukus. (Lontong ketan dan kacang)
AP033,Baruasa,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,5.3,417,6.5,8.2,79.3,,0.7,,,,,,,,,,,,,,,"Kue kering berbahan dasar tepung beras, gula pasir, telur, kelapa parut diolah dengan cara dipanggang"
AP034,Batar daan,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,75.3,107,2.2,2.2,19.6,,0.7,20,30,0.6,200,90.0,0.10,,,,,0.18,0.02,,,"Semacam bubur jagung yang dilengkapi dengan campuran daging, kacang tanah, sayuran, dan belimbing"
AP035,Bika ambon,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,51.5,199,2.1,1.5,44.4,0.3,0.6,45,28,1.8,,,,,0,,408,0.10,,0.0,0,"Kue basah berbahan dasar tepung terigu, tepung tapioka, ragi, gula pasir, telur, santan diolah dengan cara dipanggang"
AP036,Bingka,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,44.4,273,5.3,10.6,39.1,,0.6,,,,,,,,,,,,,,,"Seperti kue lumpur. Berbahan dasar tepung terigu, kentang, telur, santan, gula, garam"
AP037,Bobengka,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,46.3,225,5.3,2.6,45.2,,0.6,,,,,,,,,,,,,,,"Berbahan dasar tepung terigu, gula merah/gula kelapa,kenari yang diolah dengan cara dipanggang"
AP038,Bolu peca,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,55.6,197,3.3,4.6,35.6,,0.9,,0,0.0,0,0.0,,,,,,,0.00,0.0,0,Berbahan dasar tepung terigu atau tepung ketan dengan gula merah yang diolah dengan cara dikukus
AP039,Brem,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,37.4,249,3.4,0.4,58.0,0.0,0.9,198,86,2.0,,,,,0,,240,0.34,0.00,0.0,0,Sari dari fermentasi ketan hitam atau ketan putih
AP040,Bubur tinotuan (Manado),Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,80.9,156,2.3,0.2,15.6,8.2,1.0,41,20,0.4,486,164.0,0.30,0.4,,"1,437",,0.10,0.04,,15,"Bubur berisi beras, singkong, jagung, labu kuning, kangkung, daun gedi, daun leilem, daun kemangi."
AP041,Cake tape,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,32.2,323,4.9,11.5,50.1,1.4,1.4,131,83,2.6,,,,,26,,"1,872",0.38,0.16,0.3,0,
AP042,Cangkuning,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,57.5,204,2.8,7.5,31.4,,0.8,,,,,,,,,,,,,,,Seperti kue bugis. Berbahan dasar tepung ketan hitam
AP043,Dodol bali,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,26.5,298,3.7,2.1,65.9,0.4,1.8,70,76,2.5,,,,,0,0,496,0.28,,2.5,0,"Bahan dasar terdir dari tepung beras ketan, kacang tanah, gula merah, gula pasir, santan, dengan kemasan daun jagung"
AP044,Dodol galamai,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,16.5,348,0.4,3.8,76.1,0.5,1.2,41,144,2.6,38,76.0,0.30,2.1,0,0,0,0.03,0.06,1.8,0,"Bahan dasar terdiri dari Tepung beras ketan, gula, dan santan"
AP045,Dodol kedondong,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,26.4,331,1.9,7.6,63.8,1.0,0.4,90,55,2.3,,,,,0,,408,0.11,,0.8,5,"Bahan dasar terdiri dari Tepung beras ketan, gula , santan, kedondong"
AP046,Dodol manado,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,26.1,373,4.3,16.5,51.9,0.4,1.2,41,142,2.4,35,72.0,0.30,2.1,0,0,0,0.04,0.06,2.1,0,"Nama lainnya adalah Dodol amuran. Bahan dasar terdiri dari Tepung ketan putih, gula, santan, kenari atau kacang lainnya"
AP047,Emping beras,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,13.6,403,10.6,2.2,85.3,0.2,1.9,11,240,0.3,1,113.0,0.30,2.4,,,0,0.00,0.16,,0,Beras disangrai kemudian ditumbuk dengan alu di dalam lesung kayu. Makanan ini dihidangkan dengan cara digoreng dicampur kelapa dan gula merah
AP048,Gemblong,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,36.2,274,1.7,5.4,55.5,2.2,1.2,69,55,3.3,,,,,0,0,0,0.00,,,0,"Bahan dasar terdiri dari beras ketan, kelapa, gula merah"
AP049,Gendar goreng,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,30.4,407,6.4,28.2,32.0,0.1,3.0,216,62,1.6,,,,,0,,184,0.16,0.00,0.6,0,Kerupuk dari nasi/beras
AP050,Intip goreng,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,6.5,474,7.6,21.6,62.3,1.2,2.0,36,64,2.5,0,38.0,0.05,0.5,,0,200,0.25,0.03,0.8,0,Nasi kering dengan gula merah
AP051,Jagung gerontol,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,61.7,156,2.7,1.3,33.3,1.0,0.8,51,105,1.2,,,,,0,,162,0.08,0.00,0.0,0,"Pipil jagung kering direbus disajikan dengan kelapa parut, gula pasir, dan garam"
AP052,Jagung titi,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,9.2,374,9.4,2.2,79.1,0.8,0.1,14,142,2.9,,,9.00,,,,"11,507",0.20,,,,Jagung pipil disangrai kemudian dipipihkan
AP053,Japilus,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,3.8,500,1.2,25.1,67.3,0.4,2.7,186,29,4.9,,,,,0,,0,0.17,0.03,0.4,0,
AP054,Kakicak,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,43.9,296,3.4,15.1,36.7,,0.9,,,,,,,,,,,,,,,"nama lain hintakungkaruang, seperti candil berbahan dasar tepung ketan, terigu dan gula merah"
AP055,Kambose,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,61.5,164,3.0,2.4,32.6,4.3,0.7,16,36,0.7,0,32.0,0.10,1.6,0,256,,0.10,0.10,0.4,,Jagung pipil direbus
AP056,Kapusa,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,63.5,158,4.4,3.2,27.8,5.3,1.0,79,115,1.2,104,149.0,0.50,1.1,0,"1,374",,0.06,0.05,0.1,0,Jagung pipil direbus dengan santan bersama kacang merah
AP057,Keddo bodong,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,33.9,290,4.6,5.7,55.2,,0.6,,,,,,,,,,,,,,,
AP058,"Kelepon, kue",Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,49.6,215,3.7,3.7,41.8,1.0,1.2,232,45,3.3,,,,,0,,872,0.09,0.07,0.2,0,"Bahan dasar terdiri dari Tepung beras/ketan, parutan kelapa, gula merah (bentuk bulat hijau isi cairan gula merah)"
AP059,Kereput,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,3.5,580,4.8,39.6,51.1,,1.0,,,,,,,,,,,,,,,
AP060,Ketoprak,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,69.1,153,7.9,7.7,13.0,2.9,2.6,153,134,3.4,,,,,3,,435,0.05,,,0,"Bahan utama ketupat, tahu goreng, bihun dan tauge yang diseduh, saus kacang"
AP061,Ketupat kandangan,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,78.5,109,2.2,5.2,13.4,,0.7,,,,,,,,,,,,,,,Ketupat dengan kuah santan dan ayam
AP062,Koya,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,13.2,366,4.2,4.3,77.5,0.8,0.8,153,222,7.0,,,,,0,,,,,,0,Kue kering.  Bahan dasar terdiri dari kacang kedelai sangrai diihaluskan dan dicampur  gula halus kemudian dipanggang.
AP063,Koya mirasa,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,7.2,370,8.0,1.0,82.2,0.4,1.6,83,110,17.0,,,,,3,,144,0.19,0.45,2.6,0,
AP064,Koyabu,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,44.2,241,3.4,4.3,47.2,,0.9,,,,,,,,,,,,,,,"Bahan dasar : tepung ketan putih, kelapa, dan gula merah. Dibungkus dengan daun pandan segitiga dan dikukus"
AP065,Kue ali,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,12.8,440,3.8,18.5,64.5,0.3,0.4,27,47,2.5,,,,,0,,0,0.13,0.09,0.0,0,Bentuk seperti donat kecil (kue cincin). Bahan dasar terdiri dari tepung beras dan gula merah
AP066,Kue bangen,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,5.6,442,3.3,14.7,74.2,,2.2,,,,,,,,,,,,,,,
AP067,Kue gelang,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,7.1,448,5.8,16.1,70.0,,1.0,,,,,,,,,,,,,,,"Bahan dasar terdiri dari Terigu, kacang tanah, gula jawa, santan, kuning telur, bentuk seperti donat"
AP068,Kue jahe,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,3.7,425,1.6,8.8,84.6,1.2,1.3,155,61,4.0,,,,,,,0,0.20,,,0,"Kukis dari terigu, gula merah, jahe"
AP069,Kue kelapa,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,3.3,591,5.6,42.1,47.5,,1.5,32,180,1.6,33,443.0,0.50,1.1,,,,,,,,"Kue kering berbahan dasar kelapa parut sangrai dicampur telur, gula halus, mentega dan terigu kemudian dipanggang"
AP070,Kue koa,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,14.5,340,4.8,0.4,79.3,,1.0,,,,,,,,,,,,,,,
AP071,Kue ku temu,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,46.2,214,3.5,0.2,49.6,,0.5,,,,,,,,,,,,,,,"Kue basah. Bahan dasar kue: tepung ketan, gula halus, dan pewarna merah. Bahan isi kue: kacang hijau kupas dan gula halus. Diolah dengan cara dikukus"
AP072,Kue lumpur,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,40.1,291,3.6,11.1,44.1,,1.1,96,60,2.3,,,,,20,,400,0.24,,,,"Bahan dasar terdiri dari Terigu, kentang,  telur, santan diolah dengan cara panggang"
AP073,Kue pelita,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,71.0,141,5.3,5.5,17.6,,0.6,,,,,,,,,,,,,,,"Bahan dasar terdiri dari Tepung beras, nangka, santan, dan garam seperti talam"
AP074,Kue putu cangkir,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,32.6,304,5.3,7.0,54.9,0.9,0.2,18,193,4.0,,,,,0,,0,0.06,,,0,"Bahan dasar terdiri dari Tepung beras, kelapa, gula merah"
AP075,Kue sus,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,56.6,221,7.5,10.2,24.8,,0.9,105,85,2.5,,,,,26,,"1,300",0.12,,,0,
AP076,Kue timphan,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,43.0,247,2.9,4.2,49.5,,0.4,16,107,1.8,95,56.0,1.30,0.8,,,,0.17,,,,"Bahan dasar : tepung ketan,santan, isi angka/unti,dll. Dibungkus dengan daun pisang memanjang dan dikukus"
AP077,Laksa/Putu mayang,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,73.2,121,1.7,3.4,21.1,,0.6,,,,,,,,,,,,,,,
AP078,Lapis legit,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,21.3,389,6.6,15.7,55.5,0.5,0.9,16,136,1.9,,,,,41,,"1,032",0.26,0.09,3.0,0,"Nama lainnya adalah Spekkoek. Sejenis kue berbahan dasar tepung terigu, kuning telur, gula, dan mentega atau margarin. Umumnya berwarna kuning dan coklat."
AP079,Lupis ketan,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,61.0,164,1.8,2.1,34.5,0.7,0.6,119,31,1.5,,,,,0,,0,0.09,0.00,0.2,0,"Bahan dasar terdiri dari Ketan, gula jawa, kelapa"
AP080,Manan samin,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,27.1,379,3.4,18.1,50.6,,0.8,,,,,,,,,,,,,,,Bolu ubi
AP081,Martabak india,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,65.8,153,4.5,4.2,24.3,,1.2,14,108,2.4,240,112.0,0.40,0.5,,,,,,,,"Martabak telur, kuah kari"
AP082,Martabak mesir,Serealia,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,40.2,278,5.1,8.6,45.0,,1.1,49,168,3.4,193,123.0,0.20,0.9,,,,,,,,Martabak telur
