# Descriptive statistics only (count/mean/std of imputed values per nutrient x method). This is NOT an accuracy/error metric against ground truth - that comparison against held-out real values is Stage 4's responsibility, not this script's.
nutrient,method,count,mean,std
vitamin_c_mg,median,1380,7.672854710144928,21.239502554155465
vitamin_c_mg,mice,1380,9.757542499274118,21.078624681336503
vitamin_c_mg,missforest,1380,9.670489208695653,21.57205861788212
vitamin_c_mg,original,884,11.375016402714932,25.7960410683709
water_g,crossdb,150,41.35442333333333,30.45730800125884
water_g,knn,1380,53.692326422705314,30.481772408112278
water_g,mean,1380,54.18996865095774,29.984043334658036
water_g,median,1380,54.00817644927537,30.083131666937998
water_g,mice,1380,54.041643259922736,30.07558797583666
water_g,missforest,1380,54.300799957971016,29.98370575573505
water_g,original,1294,55.01913717156105,30.780484225931467
zinc_mg,crossdb,49,53.8812,372.59385291185987
zinc_mg,knn,1380,6.940733463768116,77.38046156297808
zinc_mg,mean,1380,10.317590320509336,72.29238011032903
zinc_mg,median,1380,2.971723768115942,70.24274736027397
zinc_mg,mice,1380,6.18199716898995,70.82398412142648
zinc_mg,missforest,1380,3.2951741826086955,70.23748445771521
zinc_mg,original,848,4.4536306603773586,89.59575528605028
